date,Current_Phase_Average,Wind_Speed,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,power
2016/7/3 0:00,0.3,0,0,0,0,0,0,0,1.6976,1.4079,0
2016/7/3 0:05,0.3,0,0,0,0,0,0,0,1.542,1.3234,0
2016/7/3 0:10,0.3,0,0,0,0,0,0,0,1.6005,1.3175,0
2016/7/3 0:15,0.3,0,0,0,0,0,0,0,1.9549,1.1435,0
2016/7/3 0:20,0.3,0,0,0,0,0,0,0,1.9204,1.1717,0
2016/7/3 0:25,0.3,0,0,0,0,0,0,0,1.654,1.2566,0
2016/7/3 0:30,0.3,0,0,0,0,0,0,0,1.7746,1.44,0
2016/7/3 0:35,0.3,0,0,0,0,0,0,0,1.7181,1.3909,0
2016/7/3 0:40,0.3,0,0,0,0,0,0,0,1.7001,1.462,0
2016/7/3 0:45,0.3,0,0,0,0,0,0,0,1.8786,1.6116,0
2016/7/3 0:50,0.3,0,0,0,0,0,0,0,1.9067,1.5001,0
2016/7/3 0:55,0.3,0,0,0,0,0,0,0,1.7895,1.5288,0
2016/7/3 1:00,0.3,0,0,0,0,0,0,0,1.9175,1.655,0
2016/7/3 1:05,0.3,0,0,0,0,0,0,0,2.0621,1.7405,0
2016/7/3 1:10,0.3,0,0,0,0,0,0,0,1.8076,1.4537,0
2016/7/3 1:15,0.3,0,0,0,0,0,0,0,1.6568,1.3739,0
2016/7/3 1:20,0.3,0,0,0,0,0,0,0,1.7202,1.4702,0
2016/7/3 1:25,0.3,0,0,0,0,0,0,0,1.9643,1.4128,0
2016/7/3 1:30,0.3,0,0,0,0,0,0,0,1.7639,1.3231,0
2016/7/3 1:35,0.3,0,0,0,0,0,0,0,1.6638,1.3338,0
2016/7/3 1:40,0.3,0,0,0,0,0,0,0,1.6979,1.4568,0
2016/7/3 1:45,0.3,0,0,0,0,0,0,0,1.7225,1.4881,0
2016/7/3 1:50,0.3,0,0,0,0,0,0,0,2.0265,1.7719,0
2016/7/3 1:55,0.3,0,0,0,0,0,0,0,1.7884,1.5275,0
2016/7/3 2:00,0.3,0,0,0,0,0,0,0,1.6251,1.3512,0
2016/7/3 2:05,0.3,0,0,0,0,0,0,0,1.4606,1.2587,0
2016/7/3 2:10,0.3,0,0,0,0,0,0,0,1.7922,1.2971,0
2016/7/3 2:15,0.3,0,0,0,0,0,0,0,1.7077,1.3165,0
2016/7/3 2:20,0.3,0,0,0,0,0,0,0,1.5454,1.1924,0
2016/7/3 2:25,0.3,0,0,0,0,0,0,0,1.5099,1.1868,0
2016/7/3 2:30,0.3,0,0,0,0,0,0,0,1.8971,1.5486,0
2016/7/3 2:35,0.3,0,0,0,0,0,0,0,1.8358,1.5289,0
2016/7/3 2:40,0.3,0,0,0,0,0,0,0,1.5343,1.311,0
2016/7/3 2:45,0.3,0,0,0,0,0,0,0,1.7687,1.4562,0
2016/7/3 2:50,0.3,0,0,0,0,0,0,0,1.7971,1.3865,0
2016/7/3 2:55,0.3,0,0,0,0,0,0,0,1.9205,1.5172,0
2016/7/3 3:00,0.3,0,0,0,0,0,0,0,1.6603,1.358,0
2016/7/3 3:05,0.3,0,0,0,0,0,0,0,1.9329,1.5351,0
2016/7/3 3:10,0.3,0,0,0,0,0,0,0,2.0494,1.7282,0
2016/7/3 3:15,0.3,0,0,0,0,0,0,0,2.3407,2.057,0
2016/7/3 3:20,0.3,0,0,0,0,0,0,0,1.743,1.4752,0
2016/7/3 3:25,0.3,0,0,0,0,0,0,0,1.7641,1.414,0
2016/7/3 3:30,0.3,0,0,0,0,0,0,0,1.8053,1.4726,0
2016/7/3 3:35,0.3,0,0,0,0,0,0,0,1.5226,1.2042,0
2016/7/3 3:40,0.3,0,0,0,0,0,0,0,1.466,1.2061,0
2016/7/3 3:45,0.3,0,0,0,0,0,0,0,1.6209,1.3816,0
2016/7/3 3:50,0.3,0,0,0,0,0,0,0,1.6771,1.3595,0
2016/7/3 3:55,0.3,0,0,0,0,0,0,0,1.6367,1.3244,0
2016/7/3 4:00,0.3,0,0,0,0,0,0,0,1.5996,1.1021,0
2016/7/3 4:05,0.3,0,0,0,0,0,0,0,1.6947,1.2814,0
2016/7/3 4:10,0.3,0,0,0,0,0,0,0,1.7694,1.3498,0
2016/7/3 4:15,0.3,0,0,0,0,0,0,0,1.5709,1.1714,0
2016/7/3 4:20,0.3,0,0,0,0,0,0,0,1.4429,1.1242,0
2016/7/3 4:25,0.3,0,0,0,0,0,0,0,1.5294,1.2301,0
2016/7/3 4:30,0.3,0,0,0,0,0,0,0,1.3266,1.2362,0
2016/7/3 4:35,0.3,0,0,0,0,0,0,0,1.2517,1.1313,0
2016/7/3 4:40,0.3,0,0,0,0,0,0,0,1.4712,1.1611,0
2016/7/3 4:45,0.3,0,0,0,0,0,0,0,1.5076,1.1947,0
2016/7/3 4:50,0.3,0,0,0,0,0,0,0,1.4326,1.1139,0
2016/7/3 4:55,0.3,0,0,0,0,0,0,0,1.4884,1.1954,0
2016/7/3 5:00,0.3,0,0,0,0,0,0,0,1.5436,1.2607,0
2016/7/3 5:05,0.3,0,0,0,0,0,0,0,1.7207,1.3611,0
2016/7/3 5:10,0.3,0,0,0,0,0,0,0,1.2337,1.2991,0
2016/7/3 5:15,0.3,0,0,0,0,0,0,0,1.5501,1.344,0
2016/7/3 5:20,0.3,0,0,0,0,0,0,0,1.552,1.2215,0
2016/7/3 5:25,0.3,0,0,0,0,0,0,0,1.4226,1.0859,0
2016/7/3 5:30,0.3,0,0,0,0,0,0,0,1.588,1.2314,0
2016/7/3 5:35,0.3,0,0,0,0,0,0,0,1.4942,1.0952,0
2016/7/3 5:40,0.3,0,0,0,0,0,0,0,1.3645,1.0249,0
2016/7/3 5:45,0.3,0,0,0,0,0,0,0,1.364,1.393,0
2016/7/3 5:50,0.3,0,0,0,0,0,0,0,1.2293,1.2492,0
2016/7/3 5:55,0.3,0,0,0,0,0,0,0,1.5527,1.2926,0
2016/7/3 6:00,0.3,0,0,0,0,0,0,0,1.589,1.2032,0
