date,Current_Phase_Average,Weather_Temperature_Celsius,Weather_Relative_Humidity,Global_Horizontal_Radiation,Diffuse_Horizontal_Radiation,Wind_Direction,Weather_Daily_Rainfall,Radiation_Global_Tilted,Radiation_Diffuse_Tilted,power
2013/4/25 0:10,0.3,13.9787,44.3436,2.8588,1.2285,113,0,8.9716,7.0631,0
2013/4/25 0:15,0.3,13.797,45.0318,2.701,1.083,107,0,8.977,7.0837,0
2013/4/25 0:20,0.3,13.6459,45.3843,3.3071,1.6268,105,0,9.0059,7.1188,0
2013/4/25 0:25,0.3,13.6167,45.9594,3.354,1.6094,105,0,8.9574,7.1485,0
2013/4/25 0:30,0.3,13.5444,46.3905,3.3663,1.806,109,0,8.844,7.1649,0
2013/4/25 0:35,0.3,13.5581,46.3724,2.8181,1.233,107,0,8.9665,7.1718,0
2013/4/25 0:40,0.3,13.6097,46.1223,2.6285,1.0273,108,0,8.9947,7.2101,0
2013/4/25 0:45,0.3,13.4219,46.2412,2.8994,1.2891,104,0,8.9096,7.2275,0
2013/4/25 0:50,0.3,13.2562,46.8884,3.0369,1.4373,99,0,8.9994,7.2397,0
2013/4/25 0:55,0.3,13.3795,46.6651,2.3812,0.8385,95,0,8.923,7.2032,0
2013/4/25 1:00,0.3,13.3596,46.8937,2.7982,1.2199,95,0,8.944,7.1857,0
2013/4/25 1:05,0.3,13.1054,47.5617,3.2908,1.5587,101,0,9.0011,7.2063,0
2013/4/25 1:10,0.3,12.9428,47.8272,2.6409,1.0348,102,0,8.9453,7.2316,0
2013/4/25 1:15,0.3,13.1018,47.9044,2.3411,0.7539,102,0,8.9466,7.2445,0
2013/4/25 1:20,0.3,13.1973,46.9988,2.884,1.1578,102,0,8.7776,7.2507,0
2013/4/25 1:25,0.3,13.2411,47.0463,2.4358,0.7749,96,0,8.9568,7.2528,0
2013/4/25 1:30,0.3,13.3071,46.4828,1.9694,0.4865,76,0,8.945,7.2771,0
2013/4/25 1:35,0.3,13.1474,47.028,2.1909,0.6594,38,0,9.0148,7.2711,0
2013/4/25 1:40,0.3,13.1472,47.5934,2.2199,0.6457,4,0,9.0001,7.3018,0
2013/4/25 1:45,0.3,13.4482,46.7975,1.7925,0.4172,2,0,8.947,7.2943,0
2013/4/25 1:50,0.3,13.4095,46.835,2.0744,0.5811,357,0,8.877,7.3183,0
2013/4/25 1:55,0.3,13.0511,47.0474,2.814,1.2457,355,0,8.9573,7.3003,0
2013/4/25 2:00,0.3,12.9199,48.6507,2.8049,1.216,355,0,8.9787,7.2983,0
2013/4/25 2:05,0.3,13.0918,48.7351,2.6655,1.0866,355,0,8.9736,7.2758,0
2013/4/25 2:10,0.3,13.0514,48.7425,2.8706,1.2177,357,0,8.8887,7.2616,0
2013/4/25 2:15,0.3,13.0237,49.0776,2.9351,1.2182,2,0,8.9168,7.2219,0
2013/4/25 2:20,0.3,13.156,48.5611,2.8327,1.2,6,0,8.9187,7.2107,0
2013/4/25 2:25,0.3,13.1297,48.3701,3.1462,1.4172,13,0,8.9617,7.2202,0
2013/4/25 2:30,0.3,12.9792,48.2109,2.7801,1.1596,13,0,8.9691,7.2234,0
2013/4/25 2:35,0.3,12.8676,48.3446,2.8449,1.2116,14,0,8.9299,7.2498,0
2013/4/25 2:40,0.3,12.6819,49.6442,2.9325,1.2892,17,0,8.9467,7.2544,0
2013/4/25 2:45,0.3,12.5045,50.6466,3.2425,1.5989,40,0,8.9324,7.2692,0
2013/4/25 2:50,0.3,12.1659,51.5219,3.5675,1.8845,58,0,8.9542,7.2932,0
2013/4/25 2:55,0.3,11.9264,51.9938,3.2935,1.5839,67,0,8.9657,7.2823,0
2013/4/25 3:00,0.3,12.0102,51.8323,2.6791,0.9564,71,0,8.916,7.285,0
2013/4/25 3:05,0.3,12.0905,51.7049,2.6372,1.0459,79,0,9.033,7.3433,0
2013/4/25 3:10,0.3,12.1013,52.5582,2.7143,1.0482,84,0,9.0683,7.3716,0
2013/4/25 3:15,0.3,12.1064,52.0748,2.8048,1.231,95,0,8.9747,7.3726,0
2013/4/25 3:20,0.3,11.9543,52.155,2.6741,1.0318,111,0,8.981,7.3702,0
2013/4/25 3:25,0.3,11.8773,52.219,2.6519,1.081,113,0,8.95,7.3732,0
2013/4/25 3:30,0.3,11.8966,52.312,2.8513,1.1679,113,0,8.8093,7.3852,0
2013/4/25 3:35,0.3,11.9477,51.986,3.0455,1.2807,113,0,8.8424,7.4102,0
2013/4/25 3:40,0.3,11.7557,52.918,2.974,1.2743,112,0,8.9408,7.4216,0
2013/4/25 3:45,0.3,11.6548,53.0914,2.8847,1.2392,113,0,8.9214,7.4461,0
2013/4/25 3:50,0.3,11.7374,53.0562,2.6146,0.9525,112,0,8.9699,7.4379,0
2013/4/25 3:55,0.3,11.8503,53.227,2.5045,0.8973,108,0,9.0235,7.4784,0
2013/4/25 4:00,0.3,11.8439,53.1786,2.2182,0.6442,106,0,8.7668,7.4871,0
2013/4/25 4:05,0.3,11.7577,54.0116,2.6261,1.1369,111,0,8.9617,7.4796,0
2013/4/25 4:10,0.3,11.5883,54.748,2.5368,0.9636,131,0,9.0254,7.5047,0
2013/4/25 4:15,0.3,11.5102,55.9364,2.5868,1.0218,144,0,8.8136,7.5263,0
2013/4/25 4:20,0.3,11.485,56.1902,2.5162,0.8741,143,0,9.0145,7.5389,0
2013/4/25 4:25,0.3,11.481,56.0491,2.6532,0.8315,143,0,9.0486,7.519,0
2013/4/25 4:30,0.3,11.5933,56.0244,2.9431,1.2446,143,0,9.0514,7.5471,0
2013/4/25 4:35,0.3,11.5039,55.4814,2.9485,1.2119,157,0,9.0747,7.5404,0
2013/4/25 4:40,0.3,11.47,56.942,2.7013,1.095,191,0,9.1051,7.5445,0
2013/4/25 4:45,0.3,11.3874,57.2618,2.8586,1.2423,194,0,9.1099,7.5502,0
2013/4/25 4:50,0.3,11.1412,56.188,2.9275,1.2598,201,0,9.0752,7.5492,0
2013/4/25 4:55,0.3,10.8439,55.194,2.8557,1.2163,204,0,9.1602,7.5637,0
2013/4/25 5:00,0.3,10.6676,52.3668,2.7495,1.1062,206,0,9.0103,7.5963,0
2013/4/25 5:05,0.3,10.6164,52.2188,2.4563,0.8512,207,0,9.0651,7.6047,0
2013/4/25 5:10,0.3,10.6991,52.5271,2.6303,0.9426,220,0,9.0678,7.628,0
2013/4/25 5:15,0.3,11.0456,52.7377,2.5105,0.9951,224,0,9.1247,7.6288,0
2013/4/25 5:20,0.3,11.0703,52.9746,3.1784,1.6087,226,0,9.1307,7.629,0
2013/4/25 5:25,0.3,10.8233,53.5714,3.4104,1.5898,227,0,9.1418,7.6441,0
2013/4/25 5:30,0.3,10.5938,54.4733,3.0828,1.4102,228,0,8.975,7.6439,0
2013/4/25 5:35,0.3,10.5394,55.8557,2.8027,1.1572,234,0,9.1266,7.6514,0
2013/4/25 5:40,0.3,10.5793,56.8121,2.7206,1.0576,238,0,9.0448,7.6594,0
2013/4/25 5:45,0.3,10.4257,58.5054,3.1191,1.3757,239,0,9.0511,7.6694,0
2013/4/25 5:50,0.3,10.2033,58.1405,3.3658,1.5104,238,0,9.0727,7.6661,0
2013/4/25 5:55,0.3,10.1406,58.006,2.8577,1.2558,234,0,9.113,7.6475,0
2013/4/25 6:00,0.3,10.0937,56.7918,2.7591,1.0926,234,0,8.9478,7.6931,0
2013/4/25 6:05,0.3,10.0521,56.6321,2.8049,0.9672,234,0,8.9322,7.7186,0
2013/4/25 6:10,0.3,10.1175,56.4125,2.9439,1.3208,234,0,9.1341,7.7228,0
2013/4/25 6:15,0.3,10.1137,55.686,2.8045,1.2155,234,0,8.9551,7.7426,0
2013/4/25 6:20,0.3,10.0765,56.8183,2.8656,1.1892,235,0,8.8283,7.7469,0
2013/4/25 6:25,0.3,10.0936,58.3999,2.5257,0.8517,234,0,8.9986,7.7394,0
2013/4/25 6:30,0.3,9.971,58.9205,2.9398,1.2962,224,0,9.0944,7.7722,0
2013/4/25 6:35,0.3,9.8142,59.8543,3.1427,1.4462,224,0,9.1047,7.8046,0
2013/4/25 6:40,0.3,9.7235,59.9126,3.0319,1.2876,266,0,9.1481,7.8335,0
2013/4/25 6:45,0.3,9.6892,60.5892,3.6361,1.8539,269,0,9.2039,7.863,0
2013/4/25 6:50,0.3,9.6829,60.6517,4.8526,2.9567,266,0,9.182,7.8718,0
2013/4/25 6:55,0.3,9.734,60.3371,6.5157,4.7106,292,0,9.1988,7.8771,0
2013/4/25 7:00,0.3,9.7566,59.7894,8.8623,6.7551,298,0,8.9166,7.8689,0
2013/4/25 7:05,0.3007,9.946,59.8417,10.6617,8.6207,288,0,9.1318,7.8284,0.0018
2013/4/25 7:10,0.7703,10.3351,59.4936,19.3471,9.6588,285,0,9.0609,7.7827,0.055
2013/4/25 7:15,1.2007,10.727,57.14,29.9823,11.4091,287,0,9.0018,7.7247,0.1049
2013/4/25 7:20,1.2357,10.9507,55.0902,41.9506,13.9764,295,0,9.0273,7.5556,0.122
2013/4/25 7:25,1.2833,11.3225,55.6674,55.0824,15.5409,297,0,8.8691,7.3652,0.1353
2013/4/25 7:30,1.2993,11.8862,53.4467,70.1695,17.2401,296,0,8.4912,7.1761,0.1458
2013/4/25 7:35,1.3337,12.7545,52.2347,85.9477,18.7058,295,0,8.5284,6.963,0.1606
2013/4/25 7:40,1.5403,13.3189,50.6886,102.4944,20.3784,292,0,8.3939,6.7527,0.2476
2013/4/25 7:45,2.3167,13.9965,49.2838,124.4558,21.92,291,0,8.4074,6.5636,0.5027
2013/4/25 7:50,3.7037,15.2243,46.3486,144.7207,22.4356,283,0,8.1713,6.393,0.8585
2013/4/25 7:55,4.2973,16.4651,42.8505,166.1487,23.7237,280,0,8.0126,6.2193,1.006
2013/4/25 8:00,5.22,17.1237,40.0541,188.5763,25.4013,277,0,7.9873,6.0752,1.2331
2013/4/25 8:05,6.9653,17.3807,38.7535,211.2601,27.6911,185,0,8.0831,5.9667,1.6582
2013/4/25 8:10,7.6823,17.6093,38.0449,231.3872,30.4193,104,0,8.1361,5.8812,1.8309
2013/4/25 8:15,8.265,18.0507,36.8638,244.9396,31.4589,107,0,8.1538,5.8182,1.972
2013/4/25 8:20,8.861,17.9929,36.7623,273.696,34.6257,110,0,8.1718,5.7705,2.115
2013/4/25 8:25,9.4067,18.2273,36.3569,296.5036,36.2653,103,0,8.1835,5.7335,2.2481
2013/4/25 8:30,9.9697,18.4995,35.368,319.4236,38.2302,104,0,8.208,5.6956,2.3843
2013/4/25 8:35,10.5273,18.9434,34.2676,343.2185,39.2714,98,0,8.2366,5.6613,2.5199
2013/4/25 8:40,11.033,19.1942,33.7018,363.066,40.6482,95,0,8.2795,5.6348,2.6444
2013/4/25 8:45,11.5777,19.5967,32.9992,385.9944,42.5903,77,0,8.2791,5.5791,2.7772
2013/4/25 8:50,12.0717,19.988,32.1874,402.9312,43.6244,87,0,8.2797,5.5451,2.899
2013/4/25 8:55,12.567,20.202,31.9016,415.395,45.6357,79,0,8.366,5.5136,3.0176
2013/4/25 9:00,13.071,20.6764,31.08,432.1728,47.0954,74,0,8.4597,5.4874,3.1403
2013/4/25 9:05,13.5683,21.1136,30.4126,451.8756,47.7574,81,0,8.589,5.4383,3.261
2013/4/25 9:10,14.0677,21.3241,29.7752,471.037,52.0836,107,0,8.6421,5.4233,3.3834
2013/4/25 9:15,14.575,21.1953,29.9889,489.3941,55.0206,91,0,8.7048,5.4489,3.5085
